REGO,ID,C01_LNO,C03_REL,C04_SEX,C05_AGE,C06_STATUS,C08_CUR_ATTEND,C09_CUR_GRADE,C10_YNOT_ATTND,C12_HGC,C13_DID_WORK,C14_CLS_WKR,PPENSSS01,PPENGSIS02,PPHEALTH03A,PPHEALTH03B,PINSURANCE04,PPS01,PTWSP02,PCBEP03,PSBSFAG04,PSBSFAP05,SEAK01,CBLP02,PEAF03,SKILLS04,PSFEED05,MEM_RFACT
12,0000000010033,01,1,2,47,3, ,   ,  ,120,2, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00869.5189
12,0000000010033,02,3,1,27,1, ,   ,  ,662,2, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01350.5407
12,0000000010033,03,3,1,25,1, ,   ,  ,220,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01350.5407
12,0000000010033,04,3,1,22,1,3,   ,02,250,2, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01495.5174
12,0000000010033,05,3,2,19,1,3,   ,04,250,2, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01142.1907
12,0000000010033,06,6,2,08,1,1,440,  ,430,2, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00943.4352
12,0000000010033,07,6,2,02,1, ,   ,  ,   , , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01015.7020
12,0000000010034,01,1,2,58,3, ,   ,  ,170,2, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01196.2035
12,0000000010034,02,3,1,27,1, ,   ,  ,848,2, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01350.5407
12,0000000010034,03,3,2,26,1, ,   ,  ,876,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01292.0023
12,0000000010034,04,3,2,34,4, ,   ,  ,848,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01385.9117
12,0000000010034,05,6,1,08,1,2,440,  ,430,2, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00952.8884
12,0000000010035,01,1,2,39,2, ,   ,  ,648,2, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01067.4389
12,0000000010035,02,3,1,14,1,2,490,  ,480,2, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00855.9249
12,0000000010035,03,3,2,12,1,2,480,  ,470,2, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00864.9450
12,0000000010036,01,1,2,38,4, ,   ,  ,120,2, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01067.4389
12,0000000010036,02,3,2,18,1,2,730,  ,720,2, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01142.1907
12,0000000010036,03,3,1,17,1,2,510,  ,500,2, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00981.1756
12,0000000010036,04,3,1,14,1,2,490,  ,480,2, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00855.9249
12,0000000010037,01,1,1,31,2, ,   ,  ,250,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01161.2337
12,0000000010037,02,2,2,24,2,3,   ,03,230,2, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01390.6322
12,0000000010037,03,3,2,04,1,3,   ,09,   , , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01015.7020
12,0000000010037,04,3,1,01,1, ,   ,  ,   , , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01119.0792
12,0000000010037,05,3,1,01,1, ,   ,  ,   , , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01119.0792
